Key_Dataset,Key_Run,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureMiningTime,measurePruningTime,measureNumMinedRules,measureNumRulesAfterAddPruning,measureNumClassRules,measureAverageRankFirstRuleFires,measureAverageRankFirstCorrectRule
allgsmmetadat-tom,1,weka.classifiers.rules.ZeroR,'',4.81E+16,2.02E+07,474144,244255,188342,55913,0,77.10875929,22.89124071,0,0,0.09224044,0.214753261,100,100,239955.7678,239955.7678,0,0.982398591,0.982398591,0,0,0,0,1,188342,1,55913,0,0,0,0,0.771087593,1,0.870750375,0,0.5,0.771087593,0.771087593,0.771087593,0.228912407,0.228912407,0.594576076,0.771087593,0.671424811,0,0.5,0.631048294,0.124392911,0.771087593,0.082,0.128,0.080523,0.126659,80.523,126.659,1060,2.52E+07,1.30E+07,95.99680662,25,?,?,?,?,?,?,?,?
allgsmmetadat-tom,2,weka.classifiers.rules.ZeroR,'',4.81E+16,2.02E+07,474144,244255,188342,55913,0,77.10875929,22.89124071,0,0,0.092240534,0.214753711,100,100,239964.946,239964.946,0,0.982436167,0.982436167,0,0,0,0,1,188342,1,55913,0,0,0,0,0.771087593,1,0.870750375,0,0.5,0.771087593,0.771087593,0.771087593,0.228912407,0.228912407,0.594576076,0.771087593,0.671424811,0,0.5,0.631046751,0.124392911,0.771087593,0.073,0.137,0.071976,0.135498,71.976,135.498,1060,2.52E+07,1.30E+07,95.99639721,25,?,?,?,?,?,?,?,?
allgsmmetadat-tom,3,weka.classifiers.rules.ZeroR,'',4.81E+16,2.02E+07,474142,244257,188342,55915,0,77.10812791,22.89187209,0,0,0.09224106,0.214756238,100,100,239970.3719,239970.3719,0,0.982450337,0.982450337,0,0,0,0,1,188342,1,55915,0,0,0,0,0.771081279,1,0.870746349,0,0.5,0.771081279,0.771081279,0.771081279,0.228918721,0.228918721,0.594566339,0.771081279,0.671416209,0,0.5,0.631038065,0.124392336,0.771081279,0.091,0.135,0.090556,0.133086,90.556,133.086,1060,2.52E+07,1.30E+07,95.99602058,25,?,?,?,?,?,?,?,?
allgsmmetadat-tom,4,weka.classifiers.rules.ZeroR,'',4.81E+16,2.02E+07,474145,244254,188342,55912,0,77.10907498,22.89092502,0,0,0.092240221,0.214752208,100,100,239953.3633,239953.3633,0,0.982392769,0.982392769,0,0,0,0,1,188342,1,55912,0,0,0,0,0.77109075,1,0.870752388,0,0.5,0.77109075,0.77109075,0.77109075,0.22890925,0.22890925,0.594580944,0.77109075,0.671429112,0,0.5,0.631051915,0.124393198,0.77109075,0.079,0.131,0.077977,0.130328,77.977,130.328,1060,2.52E+07,1.30E+07,95.99679023,25,?,?,?,?,?,?,?,?
allgsmmetadat-tom,5,weka.classifiers.rules.ZeroR,'',4.81E+16,2.02E+07,474143,244256,188342,55914,0,77.1084436,22.8915564,0,0,0.09224075,0.214754752,100,100,239962.7476,239962.7476,0,0.982423145,0.982423145,0,0,0,0,1,188342,1,55914,0,0,0,0,0.771084436,1,0.870748362,0,0.5,0.771084436,0.771084436,0.771084436,0.228915564,0.228915564,0.594571207,0.771084436,0.67142051,0,0.5,0.631043174,0.124392623,0.771084436,0.084,0.129,0.083192,0.128774,83.192,128.774,1060,2.52E+07,1.30E+07,95.9964136,25,?,?,?,?,?,?,?,?
allgsmmetadat-tom,6,weka.classifiers.rules.ZeroR,'',4.81E+16,2.02E+07,474142,244257,188342,55915,0,77.10812791,22.89187209,0,0,0.092241063,0.214756251,100,100,239974.4625,239974.4625,0,0.982467084,0.982467084,0,0,0,0,1,188342,1,55915,0,0,0,0,0.771081279,1,0.870746349,0,0.5,0.771081279,0.771081279,0.771081279,0.228918721,0.228918721,0.594566339,0.771081279,0.671416209,0,0.5,0.631038022,0.124392336,0.771081279,0.103,0.132,0.101802,0.131033,101.802,131.033,1060,2.52E+07,1.30E+07,95.99602058,25,?,?,?,?,?,?,?,?
allgsmmetadat-tom,7,weka.classifiers.rules.ZeroR,'',4.81E+16,2.02E+07,474141,244258,188342,55916,0,77.10781223,22.89218777,0,0,0.092241377,0.214757758,100,100,239992.9544,239992.9544,0,0.982538768,0.982538768,0,0,0,0,1,188342,1,55916,0,0,0,0,0.771078122,1,0.870744337,0,0.5,0.771078122,0.771078122,0.771078122,0.228921878,0.228921878,0.594561471,0.771078122,0.671411908,0,0.5,0.631032842,0.108843042,0.771078122,0.097,0.146,0.095131,0.143635,95.131,143.635,1060,2.52E+07,1.30E+07,95.99562757,25,?,?,?,?,?,?,?,?
allgsmmetadat-tom,8,weka.classifiers.rules.ZeroR,'',4.81E+16,2.02E+07,474144,244255,188342,55913,0,77.10875929,22.89124071,0,0,0.09224044,0.214753261,100,100,239955.2555,239955.2555,0,0.982396493,0.982396493,0,0,0,0,1,188342,1,55913,0,0,0,0,0.771087593,1,0.870750375,0,0.5,0.771087593,0.771087593,0.771087593,0.228912407,0.228912407,0.594576076,0.771087593,0.671424811,0,0.5,0.631048295,0.124392911,0.771087593,0.092,0.239,0.090405,0.128399,90.405,128.399,1060,2.52E+07,1.30E+07,95.99680662,25,?,?,?,?,?,?,?,?
allgsmmetadat-tom,9,weka.classifiers.rules.ZeroR,'',4.81E+16,2.02E+07,474142,244257,188342,55915,0,77.10812791,22.89187209,0,0,0.092241064,0.214756255,100,100,239981.3717,239981.3717,0,0.982495371,0.982495371,0,0,0,0,1,188342,1,55915,0,0,0,0,0.771081279,1,0.870746349,0,0.5,0.771081279,0.771081279,0.771081279,0.228918721,0.228918721,0.594566339,0.771081279,0.671416209,0,0.5,0.631038006,0.108843294,0.771081279,0.092,0.221,0.091713,0.119193,91.713,119.193,1060,2.52E+07,1.30E+07,95.99602058,25,?,?,?,?,?,?,?,?
allgsmmetadat-tom,10,weka.classifiers.rules.ZeroR,'',4.81E+16,2.02E+07,474144,244255,188342,55913,0,77.10875929,22.89124071,0,0,0.092240528,0.214753681,100,100,239955.8724,239955.8724,0,0.982399019,0.982399019,0,0,0,0,1,188342,1,55913,0,0,0,0,0.771087593,1,0.870750375,0,0.5,0.771087593,0.771087593,0.771087593,0.228912407,0.228912407,0.594576076,0.771087593,0.671424811,0,0.5,0.631046851,0.124392911,0.771087593,0.094,0.212,0.093208,0.114113,93.208,114.113,1060,2.52E+07,1.30E+07,95.99639721,25,?,?,?,?,?,?,?,?
